주민등록번호,이름,연봉,결혼여부,자녀수,부양가족수,의료비공제액,교육비공제액,주택자금공제액,기부금공제액,신용카드사용액,체크카드사용액,현금영수증사용액,연금저축공제액,퇴직연금공제액,소득공제총액
220605-2733656,홍수빈,30020000,미혼,3,4,1550000,1150000,50000,750000,162080000,89480000,5330000,2150000,2280000,7930000
750312-1079174,백채원,76240000,미혼,2,5,3490000,170000,5540000,1770000,100470000,55900000,43550000,2910000,100000,13980000
470908-2094307,김성진,36760000,기혼,0,4,3230000,100000,1830000,480000,94850000,74060000,7430000,3600000,340000,9580000
340602-2908878,이영수,71700000,미혼,3,2,4050000,2640000,960000,1850000,88040000,87090000,40650000,80000,4880000,14460000
020106-1792691,김정숙,50810000,기혼,0,1,980000,1040000,3860000,1350000,19040000,65360000,6090000,1560000,4040000,12830000
610317-1936407,김숙자,89220000,미혼,2,1,3090000,1370000,2860000,820000,38750000,11910000,21690000,1320000,4060000,13520000
910813-1720099,박지민,86420000,기혼,2,2,2500000,440000,3240000,410000,118590000,30650000,47970000,2250000,5020000,13860000
320828-1749603,박영자,62770000,미혼,3,3,1670000,1410000,7960000,720000,188830000,5310000,47290000,2840000,5510000,20110000
040914-2491952,김하은,90580000,기혼,2,5,1180000,2010000,2770000,710000,192640000,19800000,28020000,1660000,910000,9240000
700200-1594847,고정웅,89970000,미혼,1,5,2620000,1350000,6870000,1360000,187550000,88440000,8950000,1840000,6850000,20890000
470916-2194732,이수민,23480000,기혼,1,4,1810000,10000,610000,190000,22380000,32910000,34810000,830000,810000,4260000
150322-1644535,김영철,43540000,기혼,0,4,610000,910000,580000,1550000,195360000,42040000,23330000,3100000,5370000,12120000
400507-2021886,서민지,26860000,기혼,0,2,2790000,2290000,1010000,180000,47350000,19060000,22570000,2800000,6360000,15430000
250722-1422141,조민준,33520000,기혼,3,3,4060000,1430000,4350000,2000000,163670000,24170000,42480000,1170000,5320000,18330000
930517-2919189,류승현,24720000,기혼,1,1,1730000,2780000,4890000,480000,57820000,57310000,48050000,3990000,620000,14490000
650212-1051135,이정웅,87920000,미혼,1,1,3400000,1330000,5970000,1020000,96290000,27430000,46360000,330000,6360000,18410000
290914-2897775,최춘자,76940000,기혼,0,2,650000,470000,2340000,1600000,116830000,67360000,41070000,2630000,2250000,9940000
720317-2045336,박정수,70070000,미혼,0,4,520000,690000,7610000,110000,138340000,20240000,48720000,3850000,6740000,19520000
290914-2130491,이지우,91040000,기혼,3,1,410000,1430000,4090000,890000,23660000,40870000,35300000,3750000,6180000,16750000
940406-1170520,주현지,62660000,미혼,3,2,4150000,1170000,6310000,1750000,13650000,87950000,32660000,2220000,5720000,21320000
120501-2833797,박시우,62870000,미혼,1,3,3370000,1880000,810000,860000,158930000,12400000,32590000,2920000,5950000,15790000
290112-2868908,허재호,20130000,미혼,3,2,3640000,980000,1650000,60000,190620000,58910000,9530000,470000,210000,7010000
300725-1593020,장준호,44710000,미혼,0,2,4390000,1750000,4690000,1250000,180200000,60480000,39450000,360000,1260000,13700000
100029-2622680,강병철,43140000,미혼,2,3,2790000,1860000,250000,760000,106060000,31450000,42390000,1960000,4800000,12420000
960906-1626649,최순자,46590000,기혼,0,4,2070000,2880000,6040000,770000,17460000,54360000,3110000,2950000,440000,15150000
480216-1124744,장지혜,35760000,미혼,2,3,4540000,2200000,7240000,1470000,128970000,81230000,25800000,3400000,5310000,24160000
190211-1280596,나정자,73710000,기혼,2,5,3560000,2720000,7790000,930000,13300000,37430000,18930000,2330000,1490000,18820000
140616-2837751,최영진,85250000,미혼,1,1,4740000,1010000,3480000,480000,140450000,43090000,5000000,3420000,900000,14030000
820000-1197541,남준혁,96300000,기혼,0,2,1320000,2590000,7640000,1040000,18900000,97340000,10460000,2340000,4710000,19640000
940821-2458704,황미숙,63790000,기혼,2,3,1310000,1330000,1940000,1440000,198230000,86800000,29130000,1720000,740000,8480000
580807-2243800,최건우,82440000,기혼,2,5,2360000,2610000,3470000,1640000,64000000,83810000,37540000,2110000,5690000,17880000
650716-2118121,최현주,89850000,기혼,2,2,3390000,2010000,4020000,200000,46780000,12130000,16150000,1570000,1040000,12230000
400214-1318461,조예지,47890000,미혼,0,4,1290000,460000,3630000,70000,182350000,6980000,38320000,1600000,3760000,10810000
850600-1714652,손정호,71280000,기혼,2,4,1550000,20000,290000,1810000,151470000,98370000,35430000,1220000,5910000,10800000
020625-1868556,노서연,67580000,기혼,0,1,1030000,2120000,4120000,890000,154630000,73070000,2210000,2480000,6460000,17100000
310728-1246677,이지아,81160000,미혼,2,1,1550000,1410000,60000,960000,71430000,51530000,23090000,320000,5130000,9430000
680101-1337761,정민재,36670000,기혼,0,3,4150000,2490000,1910000,1070000,194070000,61770000,41880000,2100000,5970000,17690000
680520-1136405,김영진,93060000,기혼,3,3,3900000,2160000,3550000,350000,150090000,70060000,4590000,1830000,1000000,12790000
590228-2070269,김정자,65070000,미혼,2,2,1180000,10000,4610000,1470000,14690000,63340000,5020000,2490000,1010000,10770000
760220-1435262,김은지,39200000,미혼,2,5,280000,680000,4310000,800000,113240000,36390000,13010000,1930000,3180000,11180000
080205-1940436,김영수,40280000,미혼,1,1,1990000,1030000,1880000,1080000,111270000,92170000,4090000,2620000,5520000,14120000
810701-1304777,민지민,38560000,미혼,2,1,4420000,1220000,3310000,430000,111770000,99970000,43560000,1730000,6080000,17190000
430114-1007300,백종수,89290000,미혼,0,4,4900000,780000,4230000,910000,85120000,42050000,5160000,3990000,1890000,16700000
000214-2604309,한보람,48530000,미혼,0,1,2940000,550000,1860000,1780000,54530000,7880000,6840000,1060000,5480000,13670000
150103-1075387,이서준,89540000,미혼,1,5,2210000,2620000,2440000,960000,138380000,50960000,14630000,3480000,3550000,15260000
650026-1958266,김영자,49510000,미혼,1,3,2280000,1650000,150000,930000,158220000,53440000,19680000,190000,1320000,6520000
120729-2038569,홍상철,64050000,기혼,2,1,1860000,2520000,1740000,0,179190000,94870000,44120000,100000,2440000,8660000
650820-2681558,김서윤,25580000,기혼,2,5,960000,600000,7370000,1050000,155330000,66000000,49360000,1400000,700000,12080000
880921-1844329,최영진,36020000,미혼,0,3,4700000,2560000,5490000,1130000,43700000,25600000,38860000,2500000,2480000,18860000
300100-1415153,이우진,56270000,미혼,0,1,3610000,2720000,3610000,300000,44310000,34680000,8200000,2640000,2240000,15120000
050707-1161330,최채원,73730000,미혼,1,1,30000,2260000,1490000,90000,18500000,22520000,22170000,2160000,420000,6450000
340106-1027232,김상현,90750000,기혼,1,5,4620000,850000,6750000,1110000,198760000,86480000,11880000,390000,2330000,16050000
470428-1176491,김영진,29520000,미혼,2,5,1440000,1450000,750000,1970000,35540000,38870000,14760000,3450000,3340000,12400000
610711-2156664,신재호,95310000,미혼,3,5,2770000,990000,2820000,960000,43260000,58780000,9670000,3170000,3010000,13720000
540512-1095557,강준서,63180000,미혼,3,3,400000,440000,4020000,60000,130080000,76150000,34900000,3510000,6190000,14620000
970409-1447280,김영진,36420000,기혼,0,2,3650000,1010000,6430000,1620000,38480000,26030000,14920000,950000,10000,13670000
710115-2272912,최준서,91850000,기혼,3,5,2950000,2470000,2890000,430000,32680000,44900000,20100000,310000,5130000,14180000
020006-1479291,김도현,77580000,미혼,2,2,2860000,1180000,410000,840000,122880000,21000000,28930000,2470000,4770000,12530000
360422-1290445,권은경,31660000,기혼,0,1,4050000,340000,5610000,1480000,63660000,33290000,47520000,3310000,3480000,18270000
040622-2381438,안병철,31850000,미혼,3,3,1380000,2260000,700000,160000,72610000,84170000,43760000,760000,3460000,8720000
020403-2976920,김수빈,36970000,미혼,0,4,2230000,1180000,2940000,940000,27870000,36790000,48930000,2290000,30000,9610000
620007-2335114,박상철,33730000,기혼,1,2,1320000,790000,1270000,660000,62670000,99730000,6320000,350000,140000,4530000
630117-2360574,윤영호,48910000,기혼,3,1,2140000,1220000,7030000,60000,64860000,71250000,36570000,1990000,2840000,15280000
790011-2065275,양중수,47310000,기혼,2,1,1160000,2620000,900000,590000,63210000,82060000,21360000,2650000,2180000,10100000
280022-1914857,최춘자,38200000,기혼,2,2,4320000,2780000,3080000,1960000,133620000,12320000,13340000,740000,6550000,19430000
200624-1018766,김혜진,33100000,기혼,3,5,4200000,450000,4630000,120000,153180000,55750000,3340000,1710000,4470000,15580000
800019-1957654,김성현,56730000,미혼,3,5,2240000,2660000,6710000,600000,178670000,86830000,28640000,830000,5790000,18830000
020002-1235843,서지원,92110000,기혼,1,5,4980000,2130000,7470000,310000,62270000,17600000,32400000,3650000,5220000,23760000
300514-2285471,김준서,88290000,미혼,1,2,640000,130000,5060000,490000,26050000,26480000,34400000,570000,6510000,13400000
670507-1653110,고영길,64140000,기혼,2,3,1600000,2460000,950000,590000,153040000,77950000,39690000,3360000,3990000,12950000
000209-1311201,김상철,41460000,기혼,1,4,440000,260000,4990000,140000,94730000,88420000,11150000,1410000,5310000,12550000
470918-2848902,윤예진,74350000,미혼,3,1,2670000,1930000,2250000,80000,93690000,34730000,29640000,2550000,500000,9980000
600919-1691773,성예지,87530000,미혼,0,3,1970000,2290000,5350000,1140000,107150000,41650000,34090000,1630000,2760000,15140000
430308-1281194,최은지,94350000,기혼,2,1,1700000,2860000,7270000,1540000,145720000,62590000,48570000,880000,1620000,15870000
050024-2784500,정미정,50760000,미혼,2,2,4290000,2920000,640000,740000,143520000,53690000,39670000,2760000,700000,12050000
840015-2637609,장지영,22250000,미혼,3,2,2320000,90000,6380000,1670000,168360000,20580000,10610000,180000,50000,10690000
100023-1977337,유민준,46670000,미혼,3,5,2820000,210000,5720000,380000,107430000,85900000,8650000,2380000,4980000,16490000
440911-2829092,김은정,93690000,기혼,3,3,580000,2050000,6870000,1220000,89520000,52430000,23360000,2460000,2020000,15200000
690417-2500976,김상훈,83610000,기혼,1,3,3440000,2310000,7530000,900000,34310000,83950000,16760000,2860000,1890000,18930000
760622-2105581,박명숙,45100000,기혼,1,4,1650000,1560000,6050000,1190000,68510000,76840000,3030000,2810000,510000,13770000
040210-2353357,최영진,90690000,기혼,1,1,1070000,1620000,5730000,1780000,67460000,53690000,41780000,1840000,4240000,16280000
450218-1047844,정은서,91460000,미혼,0,1,1170000,1820000,6050000,690000,99350000,90000000,11630000,490000,5230000,15450000
420415-2394593,김정호,50960000,기혼,2,3,300000,1350000,280000,740000,151910000,93350000,12410000,960000,1510000,5140000
650025-2763169,박재현,64360000,기혼,1,5,280000,1640000,6690000,720000,138010000,55750000,17550000,2140000,390000,11860000
810400-2245341,장영길,80180000,기혼,3,3,4210000,310000,50000,1560000,176670000,42650000,34900000,3110000,3430000,12670000
530020-2377843,김정호,90470000,기혼,3,1,1690000,1470000,1250000,1870000,49330000,45290000,9560000,2620000,0,8900000
980503-1590350,이상훈,36860000,미혼,2,4,1000000,2800000,890000,1680000,137760000,65280000,12940000,2700000,6960000,16030000
090713-1305580,우정순,49090000,기혼,1,2,2670000,2900000,2900000,880000,151780000,70380000,4250000,2640000,860000,12850000
040411-1723472,남유진,29260000,기혼,3,1,4240000,1930000,340000,670000,69250000,10390000,35050000,2910000,3380000,13470000
550008-2598207,김경자,37290000,미혼,0,4,3540000,970000,2580000,1210000,114330000,93670000,28780000,3840000,4150000,16290000
770306-1453929,황보람,69150000,미혼,3,5,3320000,1660000,5680000,1380000,141210000,18080000,35290000,3840000,2390000,18270000
480728-1716410,최현숙,29860000,미혼,3,2,4890000,2970000,3880000,1230000,144810000,99070000,39290000,3750000,3860000,20580000
770902-1543645,안보람,51420000,미혼,1,1,130000,2750000,6040000,10000,59900000,16680000,21740000,3570000,800000,13300000
140002-2353732,구지후,54810000,미혼,0,1,3940000,30000,920000,540000,64510000,23000000,33690000,3930000,360000,9720000
590122-1155829,최건우,72850000,기혼,0,3,4450000,330000,4860000,1060000,33140000,27310000,48610000,2380000,3040000,16120000
440002-2198622,홍선영,44380000,미혼,3,2,3770000,1990000,4810000,800000,186980000,17110000,18990000,3410000,4760000,19540000
680227-2664039,박영식,55520000,기혼,1,5,3220000,810000,610000,1660000,22190000,86380000,48350000,3260000,6200000,15760000
470000-1468303,한미정,63850000,기혼,2,3,2690000,1920000,160000,120000,120640000,71670000,32960000,1620000,6510000,13020000
910212-2703658,최도윤,47160000,기혼,0,1,1890000,1000000,7970000,100000,83440000,49930000,49790000,2110000,4950000,18020000
270422-1490943,이영일,52600000,미혼,1,3,310000,1150000,5830000,90000,110990000,46330000,46690000,3530000,2040000,12950000
120317-1608636,박종수,55680000,기혼,1,2,3120000,1070000,650000,1330000,56830000,65490000,49590000,3850000,740000,10760000
160621-2139768,한상훈,84980000,미혼,0,2,4750000,1660000,5460000,1990000,40220000,55540000,39830000,3100000,1050000,18010000
930613-2737306,김정순,80310000,기혼,2,2,2660000,2290000,1340000,340000,36830000,98950000,36290000,3660000,600000,10890000
620717-2369113,한수빈,79080000,기혼,0,5,1270000,970000,6760000,1470000,187100000,55290000,45480000,3220000,2660000,16350000
380629-1215034,박예은,84070000,기혼,2,3,3720000,910000,7710000,10000,62710000,78640000,40540000,2570000,6850000,21770000
690900-2687817,박경희,40810000,미혼,0,5,430000,2390000,120000,370000,172160000,37900000,32080000,3460000,5730000,12500000
660422-1833660,류성호,64810000,미혼,2,5,2280000,1970000,7370000,1410000,195020000,82890000,34100000,720000,3170000,16920000
450025-1881390,김중수,62380000,기혼,0,5,3580000,50000,2020000,1630000,75560000,97670000,30170000,730000,1710000,9720000
420823-2419331,김영일,23670000,기혼,1,5,1040000,80000,1020000,1580000,93140000,8310000,19790000,3340000,20000,7080000
030423-1442330,장시우,81640000,기혼,2,5,1030000,2650000,4890000,1580000,110130000,60450000,24600000,1220000,4840000,16210000
690112-2325529,김명자,84110000,미혼,2,5,3820000,940000,1230000,1790000,177960000,75160000,21330000,3290000,3740000,14810000
330209-2696791,이정수,57390000,미혼,3,2,3470000,2990000,4390000,60000,66040000,44450000,41060000,960000,6210000,18080000
230414-2756099,나예은,99570000,미혼,0,1,3210000,1880000,7350000,1410000,22590000,30330000,13760000,310000,1040000,15200000
870929-1775404,구보람,66150000,기혼,0,5,4330000,2640000,410000,1320000,24370000,8960000,45530000,3340000,5650000,17690000
730223-1030833,윤유진,50360000,미혼,3,5,2430000,1490000,4690000,1000000,198740000,26790000,34710000,3470000,1980000,15060000
550502-2665922,서정식,56000000,기혼,3,2,830000,290000,7690000,1480000,117170000,29560000,36150000,3420000,6700000,20410000
710120-1001332,홍지은,77600000,기혼,1,4,3420000,640000,130000,640000,179510000,42000000,37780000,3700000,3570000,12100000
460528-2251159,신재현,61750000,기혼,0,4,630000,2750000,3340000,810000,99100000,73050000,21580000,2170000,4040000,13740000
650428-2031595,박현준,73210000,미혼,3,4,3090000,980000,270000,1760000,195080000,39520000,28000000,1770000,490000,8360000
610404-1041597,신민석,30480000,기혼,0,4,1880000,1100000,1810000,1870000,131470000,80630000,31500000,3930000,6550000,17140000
290016-1404526,이예원,44230000,기혼,3,4,4380000,2650000,590000,1060000,81740000,39850000,6480000,2090000,5710000,16480000
670810-2051565,박미경,54390000,기혼,3,4,1690000,70000,4260000,230000,169680000,61790000,12550000,250000,3900000,10400000
200324-1003770,허영철,99730000,기혼,1,3,300000,2650000,1820000,840000,95950000,97650000,17700000,1900000,4290000,11800000
780812-2469558,허정숙,31770000,미혼,3,1,3510000,2430000,1510000,160000,43310000,54540000,31340000,710000,5090000,13410000
850601-1076801,고수진,82150000,미혼,2,1,1830000,2390000,1330000,1040000,99770000,34640000,28350000,1500000,3520000,11610000
770001-1701167,김영미,91500000,기혼,3,4,3860000,1820000,7020000,390000,167800000,76500000,26240000,2350000,1430000,16870000
690821-1953337,박도현,73540000,기혼,1,1,2660000,1070000,7450000,310000,63820000,79730000,33990000,380000,6520000,18390000
420719-1214605,송영철,38050000,미혼,0,5,1880000,2280000,2360000,70000,148930000,69620000,22180000,260000,390000,7240000
340722-1851773,장민수,33640000,미혼,1,3,440000,2460000,2600000,1790000,177260000,88380000,17090000,3350000,1150000,11790000
320800-2354905,문하윤,84160000,미혼,1,4,440000,2570000,7720000,1360000,142580000,7320000,30580000,1950000,3260000,17300000
850522-1285030,김정남,80370000,기혼,2,3,1440000,2540000,3930000,1820000,183950000,78330000,30500000,2460000,2840000,15030000
530314-2486719,박상호,59160000,기혼,2,4,540000,490000,1670000,1360000,160740000,61950000,16520000,780000,1580000,6420000
820026-1832853,이하은,88390000,미혼,0,1,3340000,2500000,4210000,560000,68510000,38120000,12240000,2380000,5580000,18570000
190008-1085240,허승현,33150000,기혼,1,4,4210000,2510000,970000,1010000,90390000,64610000,26700000,2330000,3330000,14360000
210903-2912212,이영일,68150000,기혼,1,5,4270000,620000,7580000,610000,188570000,57900000,15250000,2160000,2940000,18180000
240923-2485049,김정호,46350000,미혼,2,3,90000,260000,6560000,660000,118430000,8860000,17090000,1530000,2200000,11300000
480400-1010387,강민서,40670000,기혼,2,1,1610000,2360000,3460000,760000,163610000,12350000,24860000,80000,400000,8670000
210821-2823053,박영일,38390000,미혼,3,4,1960000,2360000,6010000,800000,113710000,60750000,10620000,1400000,1230000,13760000
800924-2504326,남은지,25510000,미혼,3,1,830000,1900000,4860000,1430000,40360000,56410000,41830000,2570000,1740000,13330000
580327-2943311,김민지,30010000,기혼,3,5,1660000,1500000,160000,1390000,178720000,63910000,43430000,3920000,5570000,14200000
680110-1166114,이상훈,25780000,미혼,1,3,3990000,660000,40000,1240000,66240000,92030000,42050000,3840000,2150000,11920000
600201-2157963,박승민,92730000,기혼,2,1,2330000,430000,7690000,1920000,30780000,77250000,23230000,2200000,4890000,19460000
880717-2200557,박지현,74800000,미혼,0,5,3740000,330000,7500000,1780000,99860000,21000000,37100000,1330000,6720000,21400000
920006-1752515,서시우,28530000,기혼,3,2,2890000,830000,580000,1690000,166120000,13010000,10960000,2340000,5780000,14110000
790025-1711850,이현우,45510000,기혼,0,2,3510000,1440000,4440000,640000,35670000,53060000,7930000,2100000,370000,12500000
290603-2187169,최경자,73050000,기혼,1,5,1560000,60000,4840000,620000,39200000,21010000,46550000,480000,4800000,12360000
200924-1243686,김현정,21190000,미혼,1,2,2550000,540000,3350000,210000,124350000,83410000,39890000,1070000,3070000,10790000
880913-1445358,이현지,63010000,미혼,2,2,2130000,540000,3600000,1470000,25890000,12110000,45610000,290000,4250000,12280000
640105-1262654,박미정,85340000,기혼,3,1,4700000,360000,3200000,710000,45160000,29690000,49660000,80000,2020000,11070000
450324-1168970,최동현,56710000,기혼,3,4,2650000,1830000,2260000,1830000,47920000,74760000,34410000,2600000,2780000,13950000
910707-2891662,윤경자,21660000,기혼,2,5,390000,60000,1620000,750000,19890000,9020000,44930000,3020000,2280000,8120000
380723-1321124,이정웅,94930000,미혼,1,5,3760000,250000,280000,1250000,187330000,42030000,22820000,1690000,6980000,14210000
580517-2026156,이옥순,46980000,기혼,3,4,2810000,2560000,100000,1370000,78920000,21450000,30220000,3460000,3680000,13980000
490315-2373366,김은경,49620000,미혼,1,2,1160000,2580000,3440000,1510000,181560000,22230000,20160000,1990000,800000,11480000
070326-1998035,이진호,56390000,미혼,0,3,3150000,410000,1880000,60000,92230000,31550000,22590000,520000,4780000,10800000
610428-1147819,전지원,48440000,기혼,2,1,380000,2890000,7820000,340000,79930000,93410000,47120000,3950000,5140000,20520000
740115-2943465,김현지,71610000,기혼,1,4,2210000,1720000,4690000,1510000,125800000,10330000,26320000,2450000,1610000,14190000
740814-1751006,서정자,86540000,기혼,1,4,3860000,1330000,2810000,1820000,110220000,43080000,39880000,3200000,1090000,14110000
750214-2183214,이지현,93780000,미혼,3,3,920000,2900000,3460000,710000,89400000,19050000,8520000,3500000,3320000,14810000
390623-2240521,김은영,54360000,미혼,1,5,2470000,1230000,4000000,890000,99070000,92060000,31290000,3900000,5570000,18060000
630125-1786881,성서윤,41970000,기혼,2,3,2970000,990000,2480000,900000,178340000,56910000,26520000,590000,5690000,13620000
100704-1649323,임예진,30480000,미혼,1,1,2410000,930000,5500000,1790000,157470000,44720000,17540000,3940000,4380000,18950000
460504-1479374,김진우,93910000,기혼,3,4,920000,1200000,560000,830000,195140000,64010000,37320000,660000,2940000,7110000
910101-1463023,배영수,61060000,기혼,0,1,2330000,1290000,1810000,320000,87180000,35840000,33110000,520000,910000,7180000
740607-2116290,김동현,90260000,미혼,0,4,2550000,210000,2950000,230000,98130000,95090000,39150000,1730000,6060000,13730000
120619-2605543,고미영,92830000,기혼,3,3,530000,2860000,110000,80000,198640000,42390000,8220000,3550000,1460000,8590000
520407-2354014,이현주,23960000,미혼,2,5,2870000,1480000,7380000,320000,85110000,47430000,9070000,2430000,1670000,16150000
120116-1951894,한예은,98630000,기혼,3,5,960000,1840000,2820000,1910000,53910000,47680000,50000000,3450000,2970000,13950000
270303-2225786,김영식,83110000,미혼,3,2,350000,720000,6640000,1070000,80020000,29770000,9760000,250000,2740000,11770000
710906-1433688,이현우,24200000,기혼,2,2,1740000,210000,2740000,1560000,39410000,86520000,29280000,1740000,2630000,10620000
800025-1435766,장준영,94190000,기혼,3,5,2340000,1850000,3390000,1500000,116450000,20150000,16150000,3180000,4630000,16890000
730300-2143354,이준영,66600000,미혼,2,3,300000,840000,7800000,770000,55360000,62650000,13310000,1200000,590000,11500000
810400-2661796,김민지,40980000,미혼,0,2,4810000,2020000,4650000,170000,187790000,99180000,11070000,2330000,4230000,18210000
550724-2424290,박우진,33550000,미혼,0,3,4310000,1710000,2840000,840000,104610000,20220000,15130000,10000,1470000,11180000
970827-1164416,김지아,38470000,기혼,2,2,4200000,1670000,5390000,1750000,152180000,52350000,21580000,2850000,4040000,19900000
450322-1440715,박지원,54880000,미혼,1,1,2850000,1080000,1850000,680000,24500000,6870000,42880000,1890000,2890000,11240000
760905-1294980,강지아,68050000,미혼,2,3,4080000,500000,4770000,730000,104500000,52570000,30610000,3350000,5980000,19410000
970028-1055459,김상호,85070000,기혼,1,4,2580000,320000,7140000,130000,10710000,33420000,37130000,1680000,1280000,13130000
530517-1751065,엄종수,74690000,미혼,2,4,2670000,2550000,650000,840000,58190000,61870000,35190000,2950000,2040000,11700000
950002-2668213,이성진,78010000,기혼,3,5,1060000,2080000,1500000,1250000,86270000,57220000,42840000,1930000,2460000,10280000
130018-1029416,이정식,63960000,미혼,2,1,2720000,1620000,2430000,630000,119730000,33180000,24270000,1080000,5010000,13490000
730723-2025941,김명숙,59260000,기혼,2,5,4230000,2630000,3150000,280000,153600000,30470000,19570000,3620000,4040000,17950000
260602-2150592,이명숙,87460000,기혼,0,2,4400000,1630000,7720000,1930000,155980000,99990000,4600000,1990000,3930000,21600000
940108-2019768,송동현,91720000,기혼,0,1,4710000,1690000,6880000,1150000,193570000,46990000,10530000,1130000,1420000,16980000
100801-1988808,김숙자,90360000,미혼,3,3,1040000,400000,430000,1440000,144320000,92380000,16450000,670000,1490000,5470000
450309-1765223,강숙자,94400000,기혼,0,2,3160000,960000,3590000,1060000,151990000,48670000,42210000,3410000,3520000,15700000
620927-2203009,박민지,60630000,기혼,1,3,600000,410000,1110000,1790000,103400000,63800000,30010000,2740000,520000,7170000
250908-2343910,윤도윤,54070000,기혼,2,1,1000000,2120000,540000,1330000,138860000,99590000,33270000,1190000,5300000,11480000
640924-2187332,박유진,60860000,미혼,1,4,20000,60000,6120000,1550000,125410000,25300000,31510000,600000,6130000,14480000
120613-2809762,성준서,48130000,미혼,3,1,1400000,540000,1520000,950000,140790000,64730000,20420000,1120000,2790000,8320000
370211-1062540,이상호,97750000,기혼,1,1,4700000,160000,4350000,1150000,135990000,86280000,33150000,3230000,550000,14140000
740216-2399102,손수빈,81940000,기혼,3,5,1580000,120000,7250000,830000,47010000,26740000,39990000,470000,3300000,13550000
000315-2054946,권예준,49350000,미혼,1,2,380000,1470000,6590000,890000,127040000,38430000,14560000,1070000,2820000,13220000
580308-2679080,장현정,82250000,미혼,2,4,1940000,2480000,3340000,460000,195330000,7260000,36710000,3870000,3360000,15450000
880204-2829083,민하윤,99740000,기혼,2,3,4170000,2550000,6480000,1880000,17390000,25020000,11750000,1290000,3370000,19740000
050014-1567788,김지후,34550000,미혼,3,3,540000,2910000,400000,1500000,187300000,61410000,15610000,3410000,3770000,12530000
050106-2620367,이성현,20480000,기혼,0,1,3170000,2890000,290000,1900000,192910000,77780000,15970000,730000,1500000,10480000
280613-1813593,김서윤,97100000,미혼,3,2,3550000,2860000,4330000,100000,60710000,75350000,3420000,1110000,60000,12010000
730000-2941417,민시우,25340000,미혼,3,5,260000,1250000,1670000,640000,186910000,66960000,41860000,250000,4640000,8710000
340117-2352726,우성진,92390000,기혼,0,2,3720000,2850000,1640000,780000,147570000,83920000,5810000,2400000,5880000,17270000
870213-2035764,심미숙,52660000,미혼,0,3,4240000,2350000,1110000,1390000,143300000,40930000,11060000,2520000,6090000,17700000
300918-2128651,박민서,24750000,미혼,2,4,1630000,2420000,5860000,1150000,149730000,84530000,5290000,120000,6590000,17770000
560918-1696126,이민수,94160000,미혼,2,2,3470000,2470000,4320000,1190000,97520000,86390000,41640000,3790000,1930000,17170000
090229-2510777,이지후,21580000,기혼,1,2,1350000,1480000,3750000,620000,70940000,40920000,45300000,3440000,2310000,12950000
210819-2087585,이혜진,27470000,기혼,1,1,860000,1760000,7430000,1760000,139410000,47410000,34280000,670000,3750000,16230000
620716-1173029,장현정,54710000,기혼,1,1,4750000,1110000,260000,60000,172290000,38250000,39200000,1070000,6050000,13300000
700301-1403189,이서영,98560000,미혼,2,2,1100000,220000,330000,220000,29640000,65980000,17580000,110000,1600000,3580000
210127-1965037,김영진,77060000,기혼,0,1,250000,560000,6990000,860000,22210000,7820000,20440000,3230000,5120000,17010000
450212-2513726,김성호,46150000,미혼,1,4,4250000,1440000,3790000,1850000,100590000,5420000,15090000,2280000,4550000,18160000
880226-2647975,김영환,99390000,기혼,1,1,2120000,2610000,5700000,550000,177540000,26600000,20610000,2760000,6660000,20400000
740125-2583666,최정수,21980000,미혼,1,5,3260000,460000,7180000,20000,181140000,74360000,13560000,330000,4660000,15910000
310217-2667641,박영미,73530000,미혼,2,3,90000,240000,70000,430000,106100000,91000000,47450000,2210000,2610000,5650000
170613-2839924,박영호,62770000,기혼,0,3,1200000,470000,4710000,1600000,157100000,44120000,29850000,140000,4700000,12820000
020928-1863799,최병철,33000000,미혼,1,4,4430000,2690000,5500000,270000,199140000,90450000,23590000,1450000,1450000,15790000
310115-2551597,김윤서,84880000,미혼,0,5,2370000,1030000,4240000,990000,153760000,50380000,12220000,3470000,6420000,18520000
170213-2192344,최서연,83480000,기혼,0,5,220000,1720000,3470000,280000,109950000,52070000,42610000,3350000,4580000,13620000
360224-2345787,홍준호,99220000,기혼,1,3,260000,990000,5720000,1780000,13320000,13350000,17280000,3690000,5080000,17520000
740400-2743071,이성호,21430000,미혼,0,3,2960000,420000,5570000,1420000,45180000,76120000,19380000,2840000,5020000,18230000
660803-2926536,한수민,50350000,미혼,1,3,1560000,2510000,2060000,450000,40700000,47030000,41060000,1230000,740000,8550000
460823-2666110,박현주,28240000,미혼,2,2,4710000,830000,5950000,1530000,66350000,32320000,19380000,3210000,6030000,22260000
950910-2611326,한영진,31730000,미혼,2,2,4150000,2050000,5530000,1500000,196510000,33160000,41040000,420000,1980000,15630000
670715-1365334,김명자,55460000,미혼,0,5,2060000,1730000,1930000,1260000,32470000,27250000,43620000,2990000,4350000,14320000
160926-1905044,김경숙,46840000,기혼,3,2,3510000,1840000,3260000,540000,193370000,95400000,36420000,3830000,4090000,17070000
370229-2405873,한성호,78300000,미혼,3,3,1410000,1880000,4230000,100000,141540000,32200000,36680000,240000,1720000,9580000
050601-2346566,윤서영,82040000,미혼,2,5,610000,1060000,440000,400000,59050000,73520000,45240000,3160000,6870000,12540000
